Actividades según jerarquía (CNAE-2009);Índice y tasas;Periodo;Total
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M06;113,665
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M05;116,830
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M04;116,103
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M03;114,520
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M02;111,452
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2008M01;126,718
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M12;147,760
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M11;120,817
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M10;125,492
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M09;120,675
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M08;118,217
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M07;133,914
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M06;125,223
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M05;122,643
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M04;116,294
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M03;125,358
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M02;110,096
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2007M01;128,118
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M12;150,428
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M11;119,597
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M10;121,590
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M09;120,197
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M08;114,061
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M07;130,222
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M06;120,890
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M05;119,661
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M04;114,789
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M03;119,154
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M02;107,037
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2006M01;123,329
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M12;147,052
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M11;115,767
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M10;119,380
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M09;117,388
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M08;109,694
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M07;127,130
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M06;118,908
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M05;115,273
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M04;117,650
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M03;115,267
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M02;105,629
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2005M01;122,242
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M12;145,546
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M11;115,020
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M10;118,722
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M09;114,046
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M08;105,568
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M07;128,197
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2004M06;117,113
